,Rho,Cos,Ion Temperature,Minimum Energy
100,0.8040404040404041,0.125,0.8299163294190778,316.6335692022172
101,0.8040404040404041,0.375,0.8299163294190778,199.75684938355045
102,0.8040404040404041,0.625,0.8299163294190778,112.06617537756601
103,0.8040404040404041,0.875,0.8299163294190778,58.7606920698811
104,0.8060606060606061,-0.875,0.826518532904181,891.5634209452129
105,0.8060606060606061,-0.625,0.826518532904181,812.0648396115411
106,0.8060606060606061,-0.375,0.826518532904181,660.391538578166
107,0.8060606060606061,-0.125,0.826518532904181,475.24732026225996
108,0.8060606060606061,0.125,0.826518532904181,311.3169015151701
109,0.8060606060606061,0.375,0.826518532904181,196.55544370361122
110,0.8060606060606061,0.625,0.826518532904181,110.29574131138031
111,0.8060606060606061,0.875,0.826518532904181,57.81647129295182
